# The updater's own output, recovered from the container that ran it (T4, round 2).
#
# `docker logs -t tortoise-mangosd` on container e716a18c5d8a -- created 2026-09-09T08:48:14Z by the
# reimport's own `compose up -d`, restarted 08:55:21Z for the channel press, exited 08:56:51Z and
# never recreated -- filtered to the `[DB Auto-Updater]` lines and the ready banner, nothing else
# changed. The file hashes are the updater's own (SHA1 of each file's bytes) and are not secrets.
# The install's generated database password does not occur anywhere in this container's log:
# `docker logs tortoise-mangosd | grep -c -F "$(cat .db_password)"` = 0, and no `…;3306;…` line
# exists in it either. So nothing here is redacted.
#
# TWO starts are in this file, and the timestamps separate them:
#   08:48-08:49  the reimport, against tw_world freshly imported from their base: 173 possible,
#                173 attempted, in name order, zero `failed to apply`.
#   08:55-08:56  the channel press restart: the same 173 possible, 0 attempted.
#
# `check-updater-order.sh` beside this file re-derives both claims from this transcript and from
# the file list inside the image, rather than asking anyone to count 173 lines by eye.
#
2026-09-09T08:48:28.253209850Z [DB Auto-Updater] Attempting to execute update 20260804182219_world, hash 43BF5F2EF6FD82E5238F519820F482E4F1E81CA2.
2026-09-09T08:48:28.258065880Z [DB Auto-Updater] Attempting to execute update 20260805120000_world, hash C2549CDADA860C03F662DCC9DFCE7137408E6738.
2026-09-09T08:48:28.259542414Z [DB Auto-Updater] Attempting to execute update 20260806181419_world, hash C32C3E01007E782680B9023484C0FFFB3C1C8982.
2026-09-09T08:48:28.265660303Z [DB Auto-Updater] Attempting to execute update 20260809183358_world, hash C52531AF3C68E78038ECBB7D9B26FD1DE83FA15E.
2026-09-09T08:48:28.293352043Z [DB Auto-Updater] Attempting to execute update 20260813085825_world, hash B8337883517FBAC108CD8617150145CEC2756666.
2026-09-09T08:48:28.294554803Z [DB Auto-Updater] Attempting to execute update 20260813110328_world, hash A1DCD0DFDF5ADE69F2E311B405567B876B0FBF64.
2026-09-09T08:48:28.325577548Z [DB Auto-Updater] Attempting to execute update 20260813162900_world, hash 6F5EFA1AC865836F24449CCAFD64A366055B2978.
2026-09-09T08:48:28.329926365Z [DB Auto-Updater] Attempting to execute update 20260813194016_world, hash 8BB16BEACAB714F55B84576B6CFA58045732F937.
2026-09-09T08:48:28.354932678Z [DB Auto-Updater] Attempting to execute update 20260814112455_world, hash A15B2D2AB77E43A9FB969A57F290AAF2D5ED1F75.
2026-09-09T08:48:28.356317231Z [DB Auto-Updater] Attempting to execute update 20260815005950_world, hash 99074CE3E6C76FD056B7EC31CDA9706AF8427EF8.
2026-09-09T08:48:28.371149989Z [DB Auto-Updater] Attempting to execute update 20260816080422_world, hash 09CF11E68900337C3C3D7FF333725C2F25212595.
2026-09-09T08:48:28.410210875Z [DB Auto-Updater] Attempting to execute update 20260816081138_world, hash 86F89470146EB2BFE275AE6AF1CE52EFD6E00A51.
